time,force
140.46,1224.38
140.62,1053.53
140.78,811.33
140.94,802.36
141.1,535.5
141.26,793.73
141.42,775.46
141.58,840.25
141.74,825.59
141.9,829.75
142.06,827.08
142.22,827.06
142.38,827.61
142.54,827.41
142.7,826.73
142.86,824.56
143.02,727.75
143.18,548.54
143.34,839.02
143.5,878.54
143.66,848.69
143.82,1210.85
143.98,1138.47
144.14,829.71
144.3,881
144.46,506.72
144.62,753.29
144.78,780.6
144.94,825.46
145.1,824.74
145.26,827.74
145.42,826.58
145.58,831.1
145.74,828.53
145.9,826.22
146.06,827.3
146.22,827.37
146.38,779.67
146.54,590.15
146.7,726.93
146.86,899.61
147.02,830.71
147.18,1140.98
147.34,1128.07
147.5,938.47
147.66,794.96
147.82,646.72
147.98,684.6
148.14,778.26
148.3,822.76
148.46,826.75
148.62,830.18
148.78,826.24
148.94,827.07
149.1,829.6
149.26,807.76
149.42,589.37
149.58,725.9
149.74,869.94
149.9,787.94
150.06,1015.37
150.22,1245.72
150.38,958.44
150.54,928.8
150.7,670.61
150.86,546.72
151.02,820.08
151.18,790.41
151.34,830.13
151.5,827.2
151.66,827.18
151.82,830.92
151.98,830.68
152.14,827.4
152.3,827.18
152.46,826.28
152.62,828.47
152.78,827.33
152.94,827.52
153.1,828.83
153.26,827.97
153.42,827.39
153.58,828.17
153.74,827.88
153.9,827.14
154.06,827.83
154.22,827.83
154.38,827.83
