time,force
17.92,827.47
17.94,828.53
17.96,827.55
17.98,826.37
18,824.81
18.02,826.92
18.04,826.39
18.06,826.04
18.08,821.02
18.1,834.89
18.12,829.08
18.14,827.63
18.16,827.85
18.18,829.56
18.2,830.41
18.22,827.85
18.24,827.15
18.26,827.5
18.28,828.35
18.3,828.13
18.32,828.25
18.34,827
18.36,827.17
18.38,824.76
18.4,826.29
18.42,827.15
18.44,827.65
18.46,823.43
18.48,832.6
18.5,827.63
18.52,828.58
18.54,830.09
18.56,830.14
18.58,827.07
18.6,826.8
18.62,828.25
18.64,827.95
18.66,827.15
18.68,825.41
18.7,830.99
18.72,828.5
18.74,827.45
18.76,820.31
18.78,828.68
18.8,826.47
18.82,826.82
18.84,828.58
18.86,822
18.88,836.67
18.9,828.83
18.92,828.73
18.94,828.78
18.96,826.77
18.98,830.21
19,828.53
19.02,828.93
19.04,828.91
19.06,829.01
19.08,831.04
19.1,823.71
19.12,827.45
19.14,827.93
19.16,830.46
19.18,825.51
19.2,827.47
19.22,828.33
19.24,828.45
19.26,827.85
19.28,827.32
19.3,823.81
19.32,825.56
19.34,826.42
19.36,827.02
19.38,827.95
19.4,822.78
19.42,834.06
19.44,828.05
19.46,824.61
19.48,833.55
19.5,828.58
19.52,828.15
19.54,827.55
19.56,822.55
19.58,831.42
19.6,830.61
19.62,828.53
19.64,827.05
19.66,826.47
19.68,831.09
19.7,828.1
19.72,825.29
19.74,826.34
19.76,833.88
19.78,831.9
19.8,825.56
19.82,821.97
19.84,822.9
19.86,822.8
19.88,838.86
19.9,830.46
19.92,827.42
19.94,826.32
19.96,827.22
19.98,827.9
20,826.12
20.02,828.53
20.04,828.35
20.06,827.85
20.08,826.42
20.1,827.1
20.12,828.6
20.14,827.63
20.16,822.9
20.18,830.26
20.2,828.98
20.22,828.81
20.24,828.33
20.26,827.8
20.28,828.73
20.3,831.9
20.32,826.92
20.34,828.03
20.36,832.9
20.38,823.35
20.4,826.59
20.42,825.92
20.44,827.15
20.46,832.85
20.48,829.06
20.5,829.31
20.52,828.35
20.54,826.67
20.56,830.92
20.58,817.63
20.6,842.05
20.62,823.43
20.64,828.03
20.66,833.18
20.68,818.38
20.7,826.39
20.72,827.22
20.74,827.68
20.76,829.41
20.78,823.81
20.8,827.27
20.82,827.98
20.84,828.96
20.86,828.86
20.88,831.19
20.9,825.59
20.92,828.73
20.94,828.03
20.96,827
20.98,832.22
21,824.99
21.02,828.48
21.04,826.9
21.06,828.18
21.08,822.17
21.1,827.15
21.12,828.25
21.14,827.7
21.16,823.88
21.18,829.58
21.2,829.06
21.22,827.9
21.24,826.67
21.26,823.76
21.28,831.34
21.3,827.25
21.32,827.07
21.34,827.85
21.36,826.82
21.38,832.17
21.4,828.83
21.42,828.63
21.44,828.15
21.46,826.72
21.48,824.01
21.5,829.61
21.52,828.88
21.54,829.33
21.56,829.61
21.58,825.56
21.6,827.2
21.62,827.35
21.64,829.01
21.66,831.97
21.68,825.89
21.7,827.98
21.72,828.38
21.74,827.45
21.76,827.42
21.78,831.39
21.8,825.06
21.82,827.75
21.84,828.55
21.86,834.84
21.88,822.35
21.9,827.95
21.92,827.55
21.94,827.32
21.96,827.35
21.98,825.36
22,828.35
22.02,823.66
22.04,822.25
22.06,811.57
22.08,836.54
22.1,826.67
22.12,827.37
22.14,828.53
22.16,808.05
22.18,840.26
22.2,824.43
22.22,823.3
22.24,822
22.26,821.67
22.28,768.79
22.3,870.01
22.32,887.32
22.34,682.79
22.36,883.05
22.38,817.48
22.4,702.89
22.42,928.19
22.44,831.39
22.46,704.72
22.48,955
