time,force
117.58,772.82
117.74,813.13
117.9,793.04
118.06,855.61
118.22,838.83
118.38,784.6
118.54,838.7
118.7,805.38
118.86,793.38
119.02,879.8
119.18,845.77
119.34,876.6
119.5,982.03
119.66,933.31
119.82,882.63
119.98,811.43
120.14,811.12
120.3,853.61
120.46,827.24
120.62,855.82
120.78,785.81
120.94,747.57
121.1,741.86
121.26,798.77
121.42,824.74
121.58,825.64
121.74,828.17
121.9,823.15
122.06,828.28
122.22,828.43
122.38,827.98
122.54,828.48
122.7,829.87
122.86,827.98
123.02,827.61
123.18,826.85
123.34,820.92
123.5,807.52
123.66,818.71
123.82,832.29
123.98,815.41
124.14,782.26
124.3,816.52
124.46,811.39
124.62,806.62
124.78,866.84
124.94,792.35
125.1,832.97
125.26,840.36
125.42,798.93
125.58,816.54
125.74,851.06
125.9,810.7
126.06,872.51
126.22,879.83
126.38,930.77
126.54,978.98
126.7,855.63
126.86,788.13
127.02,831.21
127.18,801.25
127.34,799.06
127.5,808.72
127.66,832.99
127.82,843.52
127.98,812.07
128.14,789.35
128.3,792.33
128.46,779.3
128.62,877.42
128.78,807.83
128.94,816.52
129.1,786.5
129.26,847.16
129.42,833.76
129.58,826.84
129.74,825.88
129.9,827.79
130.06,827.94
130.22,826.5
130.38,824.25
130.54,816.8
130.7,792.95
130.86,811.88
131.02,821.74
131.18,788.12
131.34,850.97
131.5,803.43
131.66,825.32
131.82,822.78
131.98,844.63
132.14,804.99
132.3,840.87
132.46,782.3
132.62,833.83
132.78,844.3
132.94,838.48
133.1,852.1
133.26,920.06
133.42,1012.83
133.58,860.59
133.74,750.2
133.9,830.53
134.06,843.68
134.22,829.03
134.38,840.6
134.54,847.19
134.7,824.62
134.86,817.48
135.02,771.4
135.18,786.95
135.34,796.43
135.5,803.31
135.66,811.53
135.82,830.38
135.98,827.57
136.14,827.7
136.3,827.17
136.46,828.81
136.62,827.93
136.78,827.46
136.94,827.96
137.1,826.24
137.26,821.29
137.42,811.18
137.58,795.06
137.74,815.45
137.9,805.42
138.06,787.57
138.22,844.62
138.38,808.91
138.54,836.26
138.7,823.61
138.86,828.28
139.02,824.93
139.18,818.22
139.34,801.26
139.5,865.07
139.66,867.72
139.82,808.64
139.98,863.64
140.14,986.28
140.3,981.16
140.46,788.09
140.62,800.87
140.78,802.71
140.94,802.63
141.1,851.91
141.26,827.47
141.42,838.81
141.58,819.19
141.74,802.34
141.9,819.32
142.06,794.58
142.22,797.24
142.38,803.8
142.54,805.15
142.7,829.58
142.86,825.79
143.02,827.6
143.18,825.64
143.34,829.74
143.5,829.26
143.66,826.19
143.82,830.88
143.98,825.99
144.14,801.41
144.3,876.68
144.46,799.7
144.62,826.89
144.78,810.45
144.94,797.5
145.1,791.5
145.26,787.03
145.42,822.65
145.58,842.9
145.74,816.07
145.9,816.73
146.06,836.77
146.22,836.43
146.38,806.43
146.54,809.66
146.7,853.97
146.86,845.19
147.02,840.27
147.18,866.06
147.34,1046.35
147.5,952.62
147.66,740.63
147.82,787.67
147.98,824.68
148.14,810.16
148.3,844.66
148.46,820.24
148.62,805.45
148.78,828.41
148.94,872.91
149.1,779.65
149.26,782.65
149.42,794.02
149.58,801.11
149.74,825.32
149.9,829.23
150.06,827.32
150.22,825.89
150.38,832.16
150.54,825.78
150.7,826.41
150.86,827.26
151.02,828.76
151.18,827.64
151.34,826.22
151.5,826.05
151.66,812.73
151.82,795.63
151.98,824.73
152.14,821.69
152.3,783.99
152.46,797.08
152.62,849.46
152.78,819.18
152.94,828.49
153.1,812.37
153.26,812.2
153.42,785.54
153.58,857.77
153.74,843.27
153.9,833.21
154.06,826.09
154.22,906.65
154.38,971.91
154.54,940.45
154.7,865.78
154.86,817.39
155.02,803.8
155.18,807.53
155.34,824.55
155.5,825.29
155.66,806.28
155.82,844.27
155.98,794.61
156.14,758.69
156.3,793.3
156.46,810.99
156.62,822.59
156.78,826.36
156.94,825.72
157.1,825.54
157.26,829.49
157.42,827.66
157.58,825.26
157.74,829.11
157.9,828.03
158.06,827.58
158.22,825.55
158.38,825.78
158.54,822.86
158.7,790.82
158.86,799.84
159.02,792.35
159.18,805.37
159.34,856.62
159.5,780.18
159.66,847.69
159.82,796.94
159.98,848.46
160.14,826.38
160.3,803.64
160.46,819.21
160.62,887.88
160.78,856.3
160.94,859.17
161.1,1009.1
161.26,901.49
161.42,833.19
161.58,795.17
161.74,809.43
161.9,842.66
162.06,833.71
162.22,858.33
162.38,811.15
162.54,777.82
162.7,793.48
162.86,758.8
163.02,806.06
163.18,821.3
163.34,826.06
163.5,825.96
163.66,826.67
163.82,829.07
163.98,827.35
164.14,827.27
164.3,826.95
164.46,828.05
164.62,826.71
164.78,827.91
164.94,829.13
165.1,827
165.26,826.24
165.42,817.61
165.58,772.21
165.74,806.38
165.9,803.77
166.06,817.38
166.22,762.7
166.38,837.99
166.54,846.76
166.7,831.32
166.86,821.59
167.02,812.45
167.18,858.89
167.34,850.53
167.5,807.86
167.66,961.65
167.82,1034.39
167.98,861.45
168.14,756.09
168.3,813.24
168.46,819.76
168.62,868.19
168.78,821.99
168.94,795.39
169.1,852.07
169.26,804.78
169.42,821.1
169.58,787.58
169.74,770.62
169.9,809.54
170.06,811.11
170.22,832.17
170.38,824.75
170.54,828.52
170.7,826.98
170.86,828.05
171.02,826.15
171.18,827.48
171.34,823.43
171.5,821.33
171.66,826.74
171.82,822.02
171.98,798.32
172.14,805.41
172.3,776.47
172.46,820.56
172.62,833.58
172.78,795.29
172.94,825.54
173.1,823.43
173.26,820.84
173.42,813.56
173.58,805.65
173.74,857.02
173.9,883.27
174.06,895.66
174.22,974.79
174.38,992.46
174.54,807.96
174.7,815.8
174.86,803.97
175.02,837.23
175.18,816.4
175.34,807
175.5,803.29
175.66,800.08
175.82,768.94
175.98,776.64
