time,force
95.82,941.74
95.98,1142.17
96.14,893.96
96.3,800.33
96.46,915.27
96.62,749.31
96.78,804.94
96.94,765.86
97.1,765.33
97.26,812.42
97.42,803.55
97.58,787.87
97.74,742.96
97.9,743.79
98.06,747.48
98.22,830.81
98.38,855.53
98.54,891.3
98.7,909.66
98.86,860.48
99.02,884.06
99.18,1019.1
99.34,998.94
99.5,842.19
99.66,861.72
99.82,780.77
99.98,793.96
100.14,765.79
100.3,767.32
100.46,782.76
100.62,810.05
100.78,803.4
100.94,787.43
101.1,745.22
101.26,744.06
101.42,802.39
101.58,776.43
101.74,907.9
101.9,933.14
102.06,885.06
102.22,928.34
102.38,1022.35
102.54,921.71
102.7,882.76
102.86,849.3
103.02,785.5
103.18,802.29
103.34,739.66
103.5,755.59
103.66,792.32
103.82,802.76
103.98,800.16
104.14,767.83
104.3,757.08
104.46,689.11
104.62,875.54
104.78,881.35
104.94,880.8
105.1,902.5
105.26,856.79
105.42,1011.27
105.58,1082.58
105.74,798.77
105.9,847.93
106.06,853.37
106.22,766.88
106.38,790.66
106.54,749.83
106.7,771.24
106.86,816.8
107.02,807.52
107.18,837.78
107.34,836.19
107.5,832.52
107.66,835.3
107.82,832.96
107.98,833.48
108.14,842.01
108.3,835.8
108.46,830.59
108.62,833.64
108.78,833.28
108.94,844.34
109.1,841.6
109.26,799.47
109.42,776.75
109.58,938.06
109.74,857.86
