Time (seconds),Value
97.36,84.54
97.54,82.76
97.7,84.43
97.87,85.53
98.07,85.79
98.25,85.74
98.42,87.65
98.58,88.6
98.75,88.34
98.92,87.58
99.1,87.88
99.28,88.22
99.45,92.13
99.62,92.15
99.78,86.64
99.96,85.28
100.15,83.16
100.32,83.48
100.5,83.9
100.68,84.25
100.85,82.7
101.03,87.83
101.21,83.44
101.38,84.31
101.55,85.64
101.74,84.7
101.94,84.81
102.11,84.93
102.28,84.88
102.45,84.97
102.62,85.01
102.8,85.06
102.97,84.87
103.14,85.18
103.39,85.01
103.58,85.12
103.74,84.87
103.91,85.25
104.08,84.28
104.26,81.08
104.42,79.65
104.6,78.84
104.77,85.72
104.94,86.1
105.17,84.59
105.34,83.77
105.51,82.75
105.67,84.5
105.84,85.66
106.01,85.85
106.19,86.27
106.36,89.01
106.53,90.25
106.69,88.26
106.86,89.56
107.09,85.94
107.26,86.8
107.43,85.09
107.6,85.03
107.76,85.08
107.96,83.67
108.14,80.99
108.34,78.11
108.51,75.23
108.67,80.8
108.87,84.85
109.05,85.09
109.21,84.94
109.38,84.97
109.55,85.03
109.72,84.96
109.9,85.1
110.08,84.9
110.34,85.18
110.52,84.92
110.69,84.89
110.86,84.8
111.03,84.83
111.21,85.23
111.37,84.81
111.55,84.44
111.71,84.28
111.88,80.67
112.05,82.36
112.21,83.23
112.39,85.12
112.57,85.64
112.78,83.81
112.96,83.55
113.12,84.48
113.3,86.04
113.47,81.97
113.66,89.71
113.83,91.26
114.0,89.76
114.18,88.28
114.36,88.25
114.57,86.08
114.74,86.05
114.91,86.46
115.08,84.37
115.24,82.28
115.42,81.99
115.58,81.65
115.75,79.14
115.92,80.1
116.09,82.12
116.27,81.44
116.44,84.91
116.62,85.27
116.8,85.27
116.97,84.88
117.13,84.92
117.32,84.94
117.48,84.97
117.64,85.19
117.81,85.07
117.99,80.99
118.17,80.91
118.34,82.68
118.51,84.07
118.69,82.32
118.85,83.63
119.01,83.91
119.18,81.5
119.34,81.54
119.51,84.52
119.69,85.36
119.86,86.05
120.04,90.45
120.22,89.94
120.38,91.31
120.56,90.76
120.73,88.27
120.89,91.04
121.07,90.82
121.25,88.4
121.42,85.8
121.59,86.16
121.77,85.0
121.93,82.99
122.12,82.26
122.29,80.8
122.48,82.22
122.65,85.86
122.83,86.39
123.0,84.75
123.16,85.29
123.33,85.28
123.5,85.1
123.67,84.94
123.84,84.67
124.0,84.93
124.16,84.96
124.34,85.23
124.51,83.71
124.7,82.21
124.89,80.65
125.06,81.69
125.26,82.11
125.42,82.87
125.6,85.22
125.76,84.01
125.94,83.01
126.11,83.23
126.28,85.1
126.46,85.93
126.64,86.26
126.81,89.23
126.98,88.9
127.17,88.6
127.34,87.5
127.52,86.53
127.69,86.78
127.86,86.64
128.05,80.77
128.23,78.39
128.4,75.65
128.56,75.79
128.74,81.32
128.93,85.25
129.09,84.94
129.26,85.27
129.43,84.92
129.6,85.1
129.76,85.57
129.94,84.62
130.11,85.0
130.28,84.71
130.44,84.98
130.61,84.66
130.8,84.09
130.97,84.57
131.14,83.91
131.31,85.24
131.49,83.33
131.66,83.16
131.88,83.18
132.05,83.73
132.22,86.1
132.38,85.57
132.55,82.96
132.71,86.54
132.88,84.41
133.06,84.84
133.22,84.79
133.39,87.42
133.55,88.75
133.73,89.38
133.89,91.11
134.07,96.68
134.24,94.6
134.41,83.98
134.57,83.02
134.74,82.93
134.91,82.58
135.07,82.35
135.25,83.78
135.41,82.12
135.6,83.04
135.77,81.82
135.94,80.55
136.11,82.46
136.28,85.11
136.45,85.94
136.62,81.07
136.87,84.8
137.04,85.18
137.23,85.22
137.41,84.92
137.58,85.03
137.75,85.01
137.92,85.28
138.14,79.51
138.31,82.49
138.47,82.73
138.64,81.14
138.82,83.86
139.0,84.35
139.17,82.71
139.34,84.69
139.51,87.22
139.69,86.08
139.88,83.85
140.05,86.96
140.22,88.15
140.41,90.01
140.58,86.57
140.75,99.23
140.91,94.02
141.09,89.61
141.26,85.16
141.43,80.52
141.61,87.81
141.78,87.66
141.96,85.37
142.12,84.6
142.31,82.23
142.52,80.56
142.69,81.85
142.86,80.78
143.04,80.5
143.22,87.3
143.42,84.8
143.61,84.87
143.79,85.3
143.96,84.9
144.14,85.1
144.32,84.95
144.62,84.71
144.8,84.23
144.98,83.25
145.16,81.56
145.32,82.74
145.49,80.24
145.66,83.91
145.83,84.93
146.0,86.59
146.17,84.46
146.34,84.17
146.5,84.72
146.68,86.83
146.85,87.26
147.02,87.34
147.19,87.77
147.37,90.08
147.55,94.92
147.72,99.11
147.9,92.24
148.06,89.37
148.24,84.02
148.45,85.21
148.62,86.82
148.8,86.4
148.96,86.3
149.16,82.64
149.34,82.68
149.5,83.19
149.66,83.63
149.83,82.19
150.02,84.92
150.2,85.22
150.37,85.34
150.54,85.09
150.71,86.62
150.89,84.9
151.06,84.84
151.23,85.84
151.43,83.84
151.61,86.09
151.83,84.35
151.99,86.94
152.15,85.63
152.33,84.08
152.49,82.68
152.67,80.09
152.84,85.88
153.02,85.26
153.19,84.95
153.35,83.37
153.53,84.17
153.73,86.24
153.92,84.47
154.09,85.34
154.26,85.96
154.43,87.1
154.59,92.23
154.76,100.21
154.93,101.86
155.1,92.11
155.26,88.69
155.47,86.23
155.64,86.37
155.81,85.8
155.98,84.57
156.15,84.17
156.32,83.56
156.49,83.17
156.66,81.85
156.83,80.26
157.0,80.49
157.16,85.83
157.33,84.72
157.5,85.56
157.66,84.77
157.85,84.84
158.02,85.02
158.2,85.16
158.36,84.72
158.54,85.0
158.72,85.22
158.88,84.9
159.06,85.0
159.23,85.18
159.41,83.44
159.59,81.56
159.77,80.67
159.94,81.86
160.12,82.74
160.3,85.57
160.47,84.29
160.63,82.03
160.8,81.67
160.98,82.29
161.19,86.83
161.39,85.9
161.56,83.97
161.73,84.87
161.89,91.01
162.05,91.44
162.23,87.73
162.42,83.87
162.59,82.55
162.77,83.86
